Visitor,Home,Winner
Orlando Magic,Cleveland Cavaliers,Cleveland Cavaliers
Charlotte Hornets,Houston Rockets,Houston Rockets
Washington Wizards,Dallas Mavericks,Washington Wizards
New Orleans Pelicans,Utah Jazz,Utah Jazz
Golden State Warriors,Los Angeles Clippers,Golden State Warriors
Milwaukee Bucks,Indiana Pacers,Milwaukee Bucks
Sacramento Kings,Memphis Grizzlies,Memphis Grizzlies
Boston Celtics,Toronto Raptors,Boston Celtics
Detroit Pistons,Los Angeles Lakers,Los Angeles Lakers
Orlando Magic,Philadelphia 76ers,Philadelphia 76ers
Denver Nuggets,Miami Heat,Denver Nuggets
Charlotte Hornets,Chicago Bulls,Chicago Bulls
Oklahoma City Thunder,Houston Rockets,Houston Rockets
Indiana Pacers,Minnesota Timberwolves,Minnesota Timberwolves
Cleveland Cavaliers,Dallas Mavericks,Cleveland Cavaliers
Washington Wizards,San Antonio Spurs,San Antonio Spurs
Portland Trail Blazers,Utah Jazz,Utah Jazz
New Orleans Pelicans,Los Angeles Clippers,New Orleans Pelicans
New York Knicks,Brooklyn Nets,Brooklyn Nets
Memphis Grizzlies,Toronto Raptors,Memphis Grizzlies
Golden State Warriors,Phoenix Suns,Phoenix Suns
Detroit Pistons,Portland Trail Blazers,Portland Trail Blazers
Los Angeles Lakers,Sacramento Kings,Los Angeles Lakers
Atlanta Hawks,Indiana Pacers,Atlanta Hawks
Denver Nuggets,Orlando Magic,Orlando Magic
Minnesota Timberwolves,Washington Wizards,Washington Wizards
Philadelphia 76ers,Boston Celtics,Boston Celtics
Cleveland Cavaliers,Miami Heat,Cleveland Cavaliers
Charlotte Hornets,Milwaukee Bucks,Milwaukee Bucks
Dallas Mavericks,New Orleans Pelicans,Dallas Mavericks
Houston Rockets,Oklahoma City Thunder,Houston Rockets
Sacramento Kings,Los Angeles Clippers,Sacramento Kings
Chicago Bulls,New York Knicks,Chicago Bulls
Milwaukee Bucks,Toronto Raptors,Toronto Raptors
Oklahoma City Thunder,Memphis Grizzlies,Memphis Grizzlies
Detroit Pistons,Phoenix Suns,Phoenix Suns
San Antonio Spurs,Portland Trail Blazers,San Antonio Spurs
Miami Heat,Indiana Pacers,Miami Heat
Cleveland Cavaliers,Washington Wizards,Cleveland Cavaliers
Philadelphia 76ers,Atlanta Hawks,Philadelphia 76ers
Minnesota Timberwolves,Brooklyn Nets,Brooklyn Nets
Orlando Magic,Houston Rockets,Houston Rockets
New Orleans Pelicans,Dallas Mavericks,New Orleans Pelicans
Boston Celtics,Utah Jazz,Utah Jazz
Phoenix Suns,Golden State Warriors,Golden State Warriors
Los Angeles Clippers,Los Angeles Lakers,Los Angeles Clippers
